,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
0,A Neruda-El Ser alado,Monumento de la ciudad de Madrid,Gta José Luis Ozores 116,"433 - Calle de Villalobos, 28","Calle de Villalobos, 28,",3,186,2
1,A las víctimas del Holocausto,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1224,15
2,A los Abuelos,Monumento de la ciudad de Madrid,C Alicún ,"525 - Calle de Bacares, 20","Calle de Bacares, 20,",5,357,4
3,AICO,Monumento de la ciudad de Madrid,Pza Colón ,106b - Colón B,Calle Serrano nº 34,2,202,2
4,Abogados Laboristas,Monumento de la ciudad de Madrid,C Atocha 55,41 - Antón Martín,Calle Atocha nº 54,1,127,1
5,Abstracta I,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,381,4
6,Abstracta II,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,356,4
7,Abundancia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 137,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7,276,3
8,Academia de Farmacia,Monumento de la ciudad de Madrid,C Farmacia 9,6 - Colegio Arquitectos,Calle Hortaleza nº 63,4,143,1
9,Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monumento de la ciudad de Madrid,CAMINO HUMERA ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,3561,44
10,Ad Iesum per Mariam,Monumento de la ciudad de Madrid,AVENIDA MACHUPICHU 1,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1615,20
11,Adelardo Ortiz de Pinedo,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,567,7
12,Adhesión de España a la Comunidad Europea,Monumento de la ciudad de Madrid,PLAZA PROVINCIA 1,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9,1,138,1
13,"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,Avda Complutense ,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,332,4
14,"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,C Principal de Provincias ,"326 - Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",4,353,4
15,"Agricultor, agricultura y progreso",Monumento de la ciudad de Madrid,PASEO CASTELLANA 101,153 - General Perón con Poeta Joan Maragall,"Avenida del General Perón frente al nº 36,",4,306,3
16,Agustín Argüelles,Monumento de la ciudad de Madrid,Pza Marqués de Cerralbo ,115 - Ferraz,"Calle Evaristo San Miguel nº 2,",8,44,0
